epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59120.75000,654588069.1826417446136475,388851.3021737684030086,-162243.7575913692708127,-88458.7290094723866787,0.6286096848690390,1.1572459739993297,0.2593519766566617
59121.00000,654609669.1826417446136475,401477.6822253484860994,-137114.0673990809300449,-82956.7085029208683409,0.5411896944505677,1.1678790955954417,0.2506781343487860
59121.25000,654631269.1826417446136475,412263.8034413527930155,-111855.0003782806306845,-77605.1678056511154864,0.4583360138557485,1.1696589137469098,0.2453627195997553
59121.50000,654652869.1826417446136475,421313.1891032878775150,-86631.7317341862508329,-72336.1574461882701144,0.3803807843054924,1.1649002557470192,0.2429440668707442
59121.75000,654674469.1826417446136475,428730.1685039465664886,-61565.8774664374504937,-67093.2906583372241585,0.3071290426789420,1.1553229686377720,0.2428449025497641
59122.00000,654696069.1826417446136475,434612.0176571601186879,-36747.7513975481560919,-61832.5775376875681104,0.2381611405181375,1.1421255265236896,0.2445095511020066
59122.25000,654717669.1826417446136475,439046.1612904957146384,-12246.2460646999497840,-56521.2380795234275865,0.1730043028803468,1.1261148484991537,0.2474605355750518
59122.50000,654739269.1826417446136475,442110.0290913287899457,11884.0544362682776409,-51135.8254449408341316,0.1112141678916619,1.1078267125177403,0.2513110412487112
59122.75000,654760869.1826417446136475,443872.0618329462595284,35598.0633452537731500,-45660.3248335251046228,0.0524051441698303,1.0876175177571896,0.2557577216065946
59123.00000,654782469.1826417446136475,444393.0640492931706831,58857.0499686000839574,-40084.4941569582442753,-0.0037446235611216,1.0657279830869031,0.2605669703272204
59123.25000,654804069.1826417446136475,443727.5282626302796416,81626.6274409623874817,-34402.5135894349368755,-0.0574991479947954,1.0423251537825764,0.2655606583669853
59123.50000,654825669.1826417446136475,441924.7852183993090875,103875.4736162065237295,-28611.9264743356579856,-0.1090740006969143,1.0175292653012507,0.2706036127973287
59123.75000,654847269.1826417446136475,439029.9456942000542767,125574.5161824398674071,-22712.8259873183014861,-0.1586458631137962,0.9914305810156246,0.2755933976276438
59124.00000,654868869.1826417446136475,435084.6474046076764353,146696.4066725694865454,-16707.2385780278855236,-0.2063609049288704,0.9640997896282677,0.2804522631426165
59124.25000,654890469.1826417446136475,430127.6373150346917100,167215.1717973880586214,-10598.6610225124550198,-0.2523416319728271,0.9355943426131667,0.2851209086823596
59124.50000,654912069.1826417446136475,424195.2222404114436358,187105.9722084500244819,-4391.7160541624398320,-0.2966922615539558,0.9059622655878227,0.2895536801624858
59124.75000,654933669.1826417446136475,417321.6174171911552548,206344.9254290440585464,1908.1007275426816250,-0.3395028336746229,0.8752444148566006,0.2937148709768408
59125.00000,654955269.1826417446136475,409539.2177710058749653,224908.9664491555304267,8294.6035031255396461,-0.3808522965084830,0.8434757874273325,0.2975758591471541
59125.25000,654976869.1826417446136475,400878.8116141179925762,242775.7299454198800959,14761.0441614180490433,-0.4208107852450590,0.8106862620314467,0.3011128737131466
59125.50000,654998469.1826417446136475,391369.7521458640112542,259923.4445510525838472,21300.1973243553038628,-0.4594412777818625,0.7769010037406973,0.3043052331543333
59125.75000,655020069.1826417446136475,381040.0985712588881142,276330.8335689902887680,27904.4113252449860738,-0.4968007737260124,0.7421406741712230,0.3071339374791854
59126.00000,655041669.1826417446136475,369916.7358517022803426,291977.0189345546532422,34565.6317730779046542,-0.5329411103553749,0.7064215329398327,0.3095805250283287
59126.25000,655063269.1826417446136475,358025.4799510090961121,306841.4266759692691267,41275.4026624359976267,-0.5679095022479308,0.6697554814033863,0.3116261268331261
59126.50000,655084869.1826417446136475,345391.1738035124144517,320903.6929783985251561,48024.8487184494588291,-0.6017488700728234,0.6321500784255365,0.3132506673157477
59126.75000,655106469.1826417446136475,332037.7780031268484890,334143.5704469874035567,54804.6416912285058061,-0.6344980078091998,0.5936085452013578,0.3144321715149856
59127.00000,655128069.1826417446136475,317988.4592821757541969,346540.8344462953391485,61604.9525442879239563,-0.6661916254157251,0.5541297685848481,0.3151461469588742
59127.25000,655149669.1826417446136475,303265.6791549280169420,358075.1895447994465940,68415.3908528272731928,-0.6968602949270649,0.5137083081171253,0.3153650134364485
59127.50000,655171269.1826417446136475,287891.2845729943364859,368726.1761777547653764,75224.9321877542097354,-0.7265303213089245,0.4723344096415436,0.3150575568041793
59127.75000,655192869.1826417446136475,271886.6020308476872742,378473.0776919343043119,82021.8337541268556379,-0.7552235544106822,0.4299940272219835,0.3141883838627748
59128.00000,655214469.1826417446136475,255272.5362528622790705,387294.8279655880760401,88793.5380523928615730,-0.7829571546901665,0.3866688547298425,0.3127173543213155
59128.25000,655236069.1826417446136475,238069.6743514747358859,395169.9198272079811431,95526.5637839462433476,-0.8097433223461958,0.3423363684326868,0.3105989630019743
59128.50000,655257669.1826417446136475,220298.3961636498570442,402076.3145260750898160,102206.3825995810620952,-0.8355889968611609,0.2969698821591810,0.3077816405414401
59128.75000,655279269.1826417446136475,201978.9913625697663520,407991.3525502452976070,108817.2795087402046192,-0.8604955307803983,0.2505386172289852,0.3042069331324102
59129.00000,655300869.1826417446136475,183131.7838851862470619,412891.6661399887525477,115342.1938339759799419,-0.8844583379888463,0.2030077901525158,0.2998085115461669
59129.25000,655322469.1826417446136475,163777.2642742710304447,416753.0939262033207342,121762.5363509508460993,-0.9074665110112857,0.1543387226934610,0.2945109448071554
59129.50000,655344069.1826417446136475,143936.2307427595078479,419550.5982526359730400,128057.9766540001292014,-0.9295023930692331,0.1044889817924883,0.2882281537945661
59129.75000,655365669.1826417446136475,123629.9402026155148633,421258.1859490254428238,134206.1926882168627344,-0.9505410767749284,0.0534125619796201,0.2808614328682613
59130.00000,655387269.1826417446136475,102880.2713499672536273,421848.8336922320304438,140182.5715813313727267,-0.9705497782932282,0.0010601326321323,0.2722968905796396
