epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59128.75000,655279269.1826417446136475,159555.2174623801838607,342694.6328731793910265,138283.1230459652433638,-0.9024342397170712,0.2957195965448811,0.2194064493799612
59129.00000,655300869.1826417446136475,139846.3853432994219474,348582.0085236814338714,142819.4697747608588543,-0.9220386307800273,0.2492345403422719,0.2005070329392168
59129.25000,655322469.1826417446136475,119741.5091349558060756,353454.4581964752287604,146940.0454155131883454,-0.9390930401341939,0.2017625398976496,0.1809158084174264
59129.50000,655344069.1826417446136475,99296.4328273861756315,357291.8149866126477718,150630.3465254170587286,-0.9535271514872803,0.1534107619155625,0.1606737898429005
59129.75000,655365669.1826417446136475,78568.4891112484183395,360076.2652945274021477,153876.7759266672073863,-0.9652734544563144,0.1042899689968816,0.1398238920484457
59130.00000,655387269.1826417446136475,57616.4375839960994199,361792.4285609606886283,156666.6848130798316561,-0.9742673616108198,0.0545147141575716,0.1184110300659000
59130.25000,655408869.1826417446136475,36500.3999367335345596,362427.4414139683940448,158988.4171454499301035,-0.9804473721063353,0.0042035542048969,0.0964822314764580
59130.50000,655430469.1826417446136475,15281.7910431455547950,361971.0465909224003553,160831.3566025952750351,-0.9837552886101444,-0.0465207223068417,0.0740867604493864
59130.75000,655452069.1826417446136475,-5976.7552732350986844,360415.6868948749033734,162185.9763226930517703,-0.9841364942366821,-0.0975308578682977,0.0512762517319551
59131.00000,655473669.1826417446136475,-27211.4671613074133347,357756.6043172952486202,163043.8916263807914220,-0.9815402960983288,-0.1486948860375443,0.0281048523234989
59131.25000,655495269.1826417446136475,-48357.5238621708122082,353991.9443057398311794,163397.9158578378846869,-0.9759203418040574,-0.1998758964357100,0.0046293679738845
59131.50000,655516869.1826417446136475,-69349.1546663825865835,349122.8649732744670473,163242.1194113202509470,-0.9672351147638675,-0.2509318138163624,-0.0190905890096387
59131.75000,655538469.1826417446136475,-90119.7494679327646736,343153.6508344401954673,162571.8919270180340391,-0.9554485134355777,-0.3017152017536053,-0.0429924548824985
59132.00000,655560069.1826417446136475,-110601.9827746915107127,336091.8304085321724415,161384.0075403077644296,-0.9405305186310801,-0.3520731030085904,-0.0670105775250500
59132.25000,655581669.1826417446136475,-130727.9531098703591852,327948.2967538297525607,159676.6929512819333468,-0.9224579516286228,-0.4018469301617454,-0.0910760932822256
59132.50000,655603269.1826417446136475,-150429.3397799865051638,318737.4296868238598108,157449.6979463730822317,-0.9012153240492933,-0.4508724216374079,-0.1151168242818417
59132.75000,655624869.1826417446136475,-169637.5789820532663725,308477.2180973608046770,154704.3678494872874580,-0.8767957782466327,-0.4989796795974717,-0.1390572037547584
59133.00000,655646469.1826417446136475,-188284.0611672716913745,297189.3804019473027438,151443.7172090500243939,-0.8492021141567385,-0.5459933075735230,-0.1628182377790031
59133.25000,655668069.1826417446136475,-206300.3514558963943273,284899.4807788829202764,147672.5038363695784938,-0.8184478953148371,-0.5917326665366923,-0.1863175125588071
59133.50000,655689669.1826417446136475,-223618.4347006738535129,271637.0384200353291817,143397.3021078322490212,-0.7845586228977338,-0.6360122686958609,-0.2094692569902393
59133.75000,655711269.1826417446136475,-240170.9865084669727366,257435.6266143726534210,138626.5742268509930000,-0.7475729622359091,-0.6786423283849662,-0.2321844707270593
59134.00000,655732869.1826417446136475,-255891.6711422597581986,242332.9580674816097599,133370.7379191479412839,-0.7075440013985009,-0.7194294886131199,-0.2543711280787171
59134.25000,655754469.1826417446136475,-270715.4667290380457416,226370.9524756127211731,127642.2288132745597977,-0.6645405162022521,-0.7581777402592437,-0.2759344678691805
59134.50000,655776069.1826417446136475,-284579.0175860253511928,209595.7820324304921087,121455.5555456229049014,-0.6186482105116812,-0.7946895482535156,-0.2967773787340347
59134.75000,655797669.1826417446136475,-297421.0127458589267917,192057.8902762343059294,114827.3454363663186086,-0.5699708952190727,-0.8287671952269686,-0.3168008881327870
59135.00000,655819269.1826417446136475,-309182.5889137095655315,173811.9795126060780603,107776.3784225286071887,-0.5186315641130016,-0.8602143479223322,-0.3359047615273843
59135.25000,655840869.1826417446136475,-319807.7551362081430852,154916.9620014319370966,100323.6068208130309358,-0.4647733203134929,-0.8888378451062022,-0.3539882156756591
59135.50000,655862469.1826417446136475,-329243.8354216705192812,135435.8702073027379811,92492.1584408665949013,-0.4085601034778463,-0.9144496978357781,-0.3709507467839395
59135.75000,655884069.1826417446136475,-337441.9244512316654436,115435.7217062862036983,84307.3205945268855430,-0.3501771660277704,-0.9368692838119034,-0.3866930703557550
59136.00000,655905669.1826417446136475,-344357.3503994955099188,94987.3348449634358985,75796.5026632612425601,-0.2898312467372238,-0.9559257073620773,-0.4011181649881128
